,mPrecision,mRecall,mAP,mF1,sigma,theta,lambd,sides
0,0.10203431180083278,0.5536041571174338,0.36008942752946244,0.15747715605400542,0.8513234378820872,1.5865575033932091,0.6696724334719923,5
1,0.10065116640546265,0.5776558031547556,0.3877147742408165,0.16120289531852292,0.23556720050497482,0.1567671361817442,0.9637777175819336,8
2,0.0974626058083697,0.5566370418908843,0.3663318753581146,0.15363719904526482,0.7581834698938779,0.4667082168684439,0.6979864426881882,6
3,0.0993273843678242,0.5827415361460677,0.3937626373963542,0.1630786104213705,0.6338251131552236,2.112887000358951,0.6873871935677378,1
4,0.1012410677778793,0.558951097132241,0.372653506025571,0.15932020247775025,0.9551260344725638,1.4977996709589596,0.7833894792170337,4
5,0.10383709241209496,0.551239185836166,0.3593370773851848,0.1597770840192269,0.2602465772917608,1.8776130188356406,0.6499376659580478,4
6,0.11088403756931606,0.5785863328044539,0.3886862779036126,0.16914531441651684,0.15427777765800355,1.4397136378780608,0.409155080827325,4
7,0.10591398546367503,0.6155159473925009,0.41413956220269676,0.16984484602688538,0.3121210152816999,2.9075910384723205,0.2339895934695555,8
8,0.10567179420694055,0.5865456199857163,0.39411042037990524,0.16693808281496414,0.2579587781979187,2.5925953402977324,0.9566749679371654,2
9,0.10486603969470636,0.5598665090885652,0.37107865779997756,0.16201979174485556,0.7568327604735129,3.07921475742957,0.6457308285338275,4
10,0.10112884112952222,0.613523835150097,0.41680469886188976,0.16578241369629518,0.7331093038467983,2.950687309696824,0.006972965493908467,6
11,0.11395399276100918,0.5783152261577251,0.3922193577885249,0.17350395312601377,0.6696849008553338,2.2892719651424662,0.3759875722419179,3
12,0.0987488538405427,0.6160459226180359,0.42055036276357904,0.16314161554432408,0.2163791144584878,0.16502918477075096,0.041192098527846,5
13,0.10003376868137374,0.5702000736628972,0.37329889094333035,0.15922002088269446,0.8618068074390897,3.1387708017340574,0.8572719021399986,8
14,0.10510711518736038,0.6103586655758011,0.415903807652775,0.16857919213563943,0.9565715558589277,1.4869745370879335,0.220763413296594,7
15,0.10581314118553213,0.506788835129176,0.3279601742321758,0.1592262867217067,0.5316058181086445,0.19162783904617411,0.5391071494651437,1
16,0.1032985939292979,0.3940047167912073,0.25827951881269334,0.1351171392477717,0.6493727306293858,3.114648188872775,0.20062858530223948,1
17,0.10169501851069862,0.5524485972673328,0.3594769102015589,0.15827386200184484,0.5006920990205621,1.791891305858186,0.6383763072286476,5
18,0.10395065953267243,0.5525284377772129,0.3632511141851973,0.16026212600950984,0.28355771510260386,1.4420036658363276,0.6518822746930998,3
19,0.09702491348358402,0.5722738099417197,0.37955085276078,0.1547229251101336,0.2861476039966042,0.062170330523874946,0.7647678458684112,2
20,0.10612173863221856,0.5561846239474115,0.3687984738079907,0.16304587737968712,0.31342052273491317,1.3458619667538438,0.5257998827279587,7
21,0.10412836456234872,0.5781199592965212,0.3838249324262466,0.16417882332686462,0.19085000416415399,0.5757620329841076,0.8325529469120416,8
22,0.09926787018367159,0.5561654178807837,0.367318645501447,0.15570982237400174,0.9019236326293176,2.258644872057026,0.7619188874979097,8
23,0.1069008950955769,0.5547455426160303,0.36786740424396547,0.16258581071652262,0.8583981340466859,0.024714603174572396,0.5167587139678089,7
24,0.09800309787931043,0.6232842228621214,0.422766065440846,0.1617305169257839,0.46163936131883676,1.6745809779808234,0.8523658853568199,1
25,0.08780095856346973,0.42854694713050306,0.2639258544142272,0.13289308532934654,0.36725141256017046,0.13733855045851937,0.12271079572120658,2
26,0.10302518547108949,0.6225670800572167,0.42668456782014424,0.1627471579715042,0.9390783565470986,2.2457046636922047,0.14024652990197572,6
27,0.1000208147945866,0.5901260970481739,0.39645131973573083,0.1609614703543314,0.2223734692328101,2.9939990373376726,0.9898822250104898,2
28,0.09740903852688954,0.6325719226484396,0.426134600190784,0.16013335519129657,0.5535419594668016,0.1360955161249132,0.13078745671746073,6
29,0.10609133911572974,0.5715094603920304,0.377502037637917,0.16571390043679263,0.05449815554216264,0.3238484434232127,0.6306843159527278,1
30,0.10247081748778342,0.573803630662361,0.3773527853206777,0.1605407916760845,0.191202197017449,1.6197830985552037,0.639012400078806,2
31,0.1087819966360212,0.5785862607383969,0.39182866762782265,0.1689456667320452,0.6040269333595097,3.0864957296485414,0.3870775559634231,5
32,0.10966120177874528,0.5732325892832228,0.37855849553618004,0.16844372419781034,0.6621836528441697,1.292629442785282,0.435651807575274,4
33,0.10806341110377926,0.5677985481652426,0.3893366168816236,0.1706648399758913,0.5809958186732397,1.9338794717762444,0.5170183858615486,1
34,0.10887981666511828,0.5622183251424079,0.3680124861017339,0.1649370211153311,0.8696014159992898,2.39280450711563,0.4767190570881452,4
35,0.10208738461966779,0.5582298183541886,0.36582911901262694,0.15963694450188406,0.993405220822747,2.9151469354007165,0.6304267518367587,6
36,0.0917336669863653,0.603572992530471,0.4050880960863049,0.15263333098738624,0.7638618421529112,0.5561142106346952,0.06352224830965991,7
37,0.10882811313446353,0.6261247731264575,0.42927970050603914,0.17460841028959942,0.46509178414375885,2.863329274021575,0.2295569711115648,8
38,0.10022164814145826,0.5515452779979235,0.3639834724141524,0.15698312856304503,0.8339346694541027,1.9679698128742287,0.5668733603852718,8
39,0.11016848174171279,0.573381189295239,0.3832191480020586,0.17260180481948578,0.12038739416600164,2.5308887694810003,0.5626247232617693,1
40,0.1050831281083892,0.5590659180571929,0.3733646157604142,0.16486160553874224,0.6832706964459297,0.9285141155354016,0.24154730783093803,3
41,0.0794381268969553,0.5686746298739452,0.364437658458052,0.13319509574352106,0.518337787453434,1.5711135008247534,0.0929656023825236,4
42,0.11526758100618392,0.457710159465076,0.2943753281159321,0.16725848557960538,0.1780658862557184,0.6564646566256694,0.2095514886675921,1
43,0.1115491479937237,0.543414948280157,0.3554887731278587,0.16700199377482255,0.972933617280214,2.6848180677095,0.5296495248774153,2
44,0.10956069854432945,0.5847060092822368,0.3984970910975513,0.16987752473823287,0.33843741977874753,0.642704174107742,0.3821135771145857,4
45,0.1107401379639684,0.5949475031005155,0.4080986260453895,0.17305189313827657,0.6154234059633834,1.7226193793451177,0.2958159927746624,6
46,0.1013285502241225,0.583627708834058,0.38911361241352804,0.16445154019810831,0.878594237524952,1.312913080968772,0.04843169136839587,4
47,0.09370874269952155,0.5974816121121556,0.39731970543333195,0.1550897036319818,0.5066888439148206,0.15579005038156044,0.052636049417352226,4
