,mPrecision,mRecall,mAP,mF1,sigma,theta,lambd,sides
0,0.7333006860251177,0.2631549173560667,0.24225382716079108,0.3599352935876808,0.8513234378820872,1.5865575033932091,0.6696724334719923,5
1,0.7220998518599943,0.28669090374531125,0.266884262910369,0.3880809863253605,0.23556720050497482,0.1567671361817442,0.9637777175819336,8
2,0.7261427886344751,0.26680213514515777,0.24726965469390097,0.36463469944334176,0.7581834698938779,0.4667082168684439,0.6979864426881882,6
3,0.7380089258861856,0.2887299975481179,0.2668410019630813,0.3866127659415602,0.6338251131552236,2.112887000358951,0.6873871935677378,1
4,0.7283655434567693,0.2763614888220297,0.2541981764773184,0.37680586466382804,0.9551260344725638,1.4977996709589596,0.7833894792170337,4
5,0.721986604337108,0.26649101622937116,0.2455922052265609,0.3668105930904063,0.2602465772917608,1.8776130188356406,0.6499376659580478,4
6,0.7500036484740475,0.28379885631135365,0.2632190086636607,0.3834633830865483,0.15427777765800355,1.4397136378780608,0.409155080827325,4
7,0.7543291945652408,0.3017021642779622,0.2819950153640975,0.40264705292806713,0.3121210152816999,2.9075910384723205,0.2339895934695555,8
8,0.7388804594179652,0.2905800133981736,0.2707894627393758,0.39378107238852617,0.2579587781979187,2.5925953402977324,0.9566749679371654,2
9,0.7287621174516077,0.2691904084574114,0.24975915443281416,0.3693315433267183,0.7568327604735129,3.07921475742957,0.6457308285338275,4
10,0.717900172098924,0.31670482118541815,0.29190936017971186,0.41054858466069566,0.7331093038467983,2.950687309696824,0.006972965493908467,6
11,0.7409596993080589,0.2840647470797658,0.26388368427566905,0.38182798006982055,0.6696849008553338,2.2892719651424662,0.3759875722419179,3
12,0.7025682298593748,0.31763511798054267,0.2916424209958614,0.4119167671247087,0.2163791144584878,0.16502918477075096,0.041192098527846,5
13,0.740373529029665,0.28050263351958915,0.2578304042933111,0.38282492619603226,0.8618068074390897,3.1387708017340574,0.8572719021399986,8
14,0.7487731469670145,0.3032860244898248,0.2842311618350331,0.4038495997890935,0.9565715558589277,1.4869745370879335,0.220763413296594,7
15,0.6822206008733511,0.22435222811870453,0.20499725018432918,0.3085624897587188,0.5316058181086445,0.19162783904617411,0.5391071494651437,1
16,0.6295069616400223,0.1730029977922208,0.15775639549946036,0.24114682609234261,0.6493727306293858,3.114648188872775,0.20062858530223948,1
17,0.7257499277611512,0.26187132329612306,0.24239392758795292,0.35786488311838405,0.5006920990205621,1.791891305858186,0.6383763072286476,5
18,0.7287682917692937,0.2668434260796929,0.24680627629826435,0.3659416580397501,0.28355771510260386,1.4420036658363276,0.6518822746930998,3
19,0.7556376157547173,0.2856425221870361,0.2654529745196873,0.3883494731995719,0.2861476039966042,0.062170330523874946,0.7647678458684112,2
20,0.7353792596767692,0.26148255379871227,0.2407842323390635,0.3591860726854187,0.31342052273491317,1.3458619667538438,0.5257998827279587,7
21,0.7352296565289208,0.27951937375647035,0.259429937039374,0.3795072294391925,0.19085000416415399,0.5757620329841076,0.8325529469120416,8
22,0.7337627484484037,0.27453146583141474,0.251867729319296,0.37531035959643927,0.9019236326293176,2.258644872057026,0.7619188874979097,8
23,0.728832665218144,0.2651927136764938,0.24540153483022048,0.36262506958518737,0.8583981340466859,0.024714603174572396,0.5167587139678089,7
24,0.7297995267911358,0.3182778679271691,0.29610486560380095,0.4220195642004171,0.46163936131883676,1.6745809779808234,0.8523658853568199,1
25,0.654091846415351,0.18488391466699333,0.1690943721614235,0.26122531063803367,0.36725141256017046,0.13733855045851937,0.12271079572120658,2
26,0.7278912861548644,0.3152541625305404,0.2904420420188019,0.4113180936092807,0.9390783565470986,2.2457046636922047,0.14024652990197572,6
27,0.7399235754974182,0.29082884902147643,0.2722325161584063,0.3930248298869574,0.2223734692328101,2.9939990373376726,0.9898822250104898,2
28,0.725468643536709,0.32364167904587937,0.29861873035724357,0.42005103833918433,0.5535419594668016,0.1360955161249132,0.13078745671746073,6
